url,status,state,parent,failureDetails
https://nyccivilrightshistory.org/gallery/map-nyc-islands/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/grammar-school-33_hu_a3b61f3983d9ea25.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/first-patriotic-election_hu_98585b26963ac139.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/first-patriotic-election/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/cisco-on-trial/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/cisco-on-trial_hu_db6ed12144146eaa.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/cisco-vs-boe/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/cisco-vs-boe_hu_841af831172b48e0.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/elsberg-bill-signed_hu_e79c7ac4f9bc8d9d.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/elsberg-bill-signed/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/elizabeth-cisco_hu_2217313bb12ce72a.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/albany-evening-journal/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/elizabeth-cisco/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/albany-evening-journal_hu_6d54011bcdb9678c.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://forms.gle/MjAk8NAQK8Dh3diF9,200,OK,https://nyccivilrightshistory.org/home,[]
https://nyccivilrightshistory.org/images/elizabeth-farrell_hu_b5c4e666d1e222b0.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/elizabeth-farrell/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/a-days-work/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/a-days-work_hu_c67672d628ceb77b.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/high-tide-of-immigration/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/high-tide-of-immigration_hu_47d5e2746f9da4bb.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/nyc-schools-what-they-cost/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/ps47/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/ps47_hu_73b6cf40680c25b6.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/nyc-schools-what-they-cost_hu_dbc669e228da3a0a.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/keller-ny-point/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/keller-ny-point_hu_8837c0c11952d00d.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/delinquent-girls/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/delinquent-girls_hu_698f43079dab78b6.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/feeble-minded-in-ny/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/feeble-minded-in-ny_hu_868385eb372448ca.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/william-maxwell/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/images/william-maxwell_hu_30c677be87bbe9e6.jpg,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/page/2/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/page/3/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/gallery/page/8/,200,OK,https://nyccivilrightshistory.org/gallery/,[]
https://nyccivilrightshistory.org/about/teachers-college-logo.jpg,200,OK,https://nyccivilrightshistory.org/about/,[]
https://nyccivilrightshistory.org/project-history,200,OK,https://nyccivilrightshistory.org/about/,[]
https://nyccivilrightshistory.org/about/national-archives.jpg,200,OK,https://nyccivilrightshistory.org/about/,[]
https://nyccivilrightshistory.org/about/digital-futures-institute.jpg,200,OK,https://nyccivilrightshistory.org/about/,[]
https://www.tc.columbia.edu/,200,OK,https://nyccivilrightshistory.org/about/,[]
https://www.tc.columbia.edu/che/,200,OK,https://nyccivilrightshistory.org/about/,[]
